model,scope,prevalence,threshold,tp,fp,fn,tn,recall,fpr,precision,f1
raw100,3000,0.1,0.9994805844224834,5247,1,59,18645,0.9888805126272144,5.363080553469913e-05,0.9995121334058604,0.9941679002197104
raw100,3500,0.001,0.9994805844224834,5217,3,50,18650,0.990506929941143,0.0001608320377419182,0.8604288939051918,0.9208971712089353
raw100,3500,0.01,0.9994805844224834,5217,3,50,18650,0.990506929941143,0.0001608320377419182,0.9841793440334962,0.9873329990874552
raw100,3500,0.1,0.9994805844224834,5217,3,50,18650,0.990506929941143,0.0001608320377419182,0.9985407713167043,0.9945076261293284
raw100,4000,0.001,0.9994805844224834,5239,1,50,18649,0.9905464170920779,5.361930294906166e-05,0.9486973825815815,0.9691703471002023
raw100,4000,0.01,0.9994805844224834,5239,1,50,18649,0.9905464170920779,5.361930294906166e-05,0.9946695930216951,0.9926037232609357
raw100,4000,0.1,0.9994805844224834,5239,1,50,18649,0.9905464170920779,5.361930294906166e-05,0.9995130579115118,0.995009536937793
raw100,4500,0.001,0.9994805844224834,5255,0,31,18639,0.9941354521377223,0.0,1.0,0.9970591025519399
raw100,4500,0.01,0.9994805844224834,5255,0,31,18639,0.9941354521377223,0.0,1.0,0.9970591025519399
raw100,4500,0.1,0.9994805844224834,5255,0,31,18639,0.9941354521377223,0.0,1.0,0.99705910255194
