model,scope,prevalence,threshold,tp,fp,fn,tn,recall,fpr,precision,f1
raw100,Fungi,0.01,0.9994805844224834,12213,65,126,538369,0.9897884755652808,0.00012072045970351055,0.9880694313056033,0.9889282063865372
raw100,Fungi,0.1,0.9994805844224834,12213,65,126,538369,0.9897884755652808,0.00012072045970351055,0.9989035103504303,0.9943251038861133
raw100,Metazoa,0.001,0.9994805844224834,24528,65,201,538369,0.9918718913017105,0.00012072045970351055,0.8915929755577954,0.9390629222751482
raw100,Metazoa,0.01,0.9994805844224834,24528,65,201,538369,0.9918718913017105,0.00012072045970351055,0.9880941929709506,0.9899794382855395
raw100,Metazoa,0.1,0.9994805844224834,24528,65,201,538369,0.9918718913017105,0.00012072045970351055,0.9989058109944928,0.9953764248419934
raw100,Viridiplantae,0.001,0.9994805844224834,14534,65,132,538369,0.990999590890495,0.00012072045970351055,0.891507905794405,0.9386246498074665
raw100,Viridiplantae,0.01,0.9994805844224834,14534,65,132,538369,0.990999590890495,0.00012072045970351055,0.9880838380869802,0.9895395666221326
raw100,Viridiplantae,0.1,0.9994805844224834,14534,65,132,538369,0.990999590890495,0.00012072045970351055,0.9989048489191816,0.994936517365749
raw100,Other_Eukaryota,0.001,0.9994805844224834,2581,65,112,538369,0.9584106943928704,0.00012072045970351055,0.8882311648856446,0.9219873829265829
raw100,Other_Eukaryota,0.01,0.9994805844224834,2581,65,112,538369,0.9584106943928704,0.00012072045970351055,0.9876836425318503,0.9728270081452346
raw100,Other_Eukaryota,0.1,0.9994805844224834,2581,65,112,538369,0.9584106943928704,0.00012072045970351055,0.9988676525980036,0.9782210506797098
raw100,fungi_bacteria_only,0.001,0.9994805844224834,12213,60,126,525483,0.9897884755652808,0.00011416763233455683,0.8966759093475078,0.9409342561537009
raw100,fungi_bacteria_only,0.01,0.9994805844224834,12213,60,126,525483,0.9897884755652808,0.00011416763233455683,0.9887097228946893,0.9892488051414372
raw100,fungi_bacteria_only,0.1,0.9994805844224834,12213,60,126,525483,0.9897884755652808,0.00011416763233455683,0.9989629671832735,0.9943545595300568
raw100,organelle,0.001,0.9994805844224834,1772,65,26,538369,0.985539488320356,0.00012072045970351055,0.8909723692655032,0.9358730661506867
raw100,organelle,0.01,0.9994805844224834,1772,65,26,538369,0.985539488320356,0.00012072045970351055,0.988018610953672,0.9867774925384333
raw100,organelle,0.1,0.9994805844224834,1772,65,26,538369,0.985539488320356,0.00012072045970351055,0.998898788226074,0.992174170662965
